training_window_months,train_months,test_month,mae,rmse,r2
3,"202602, 202603, 202604",202605,625859.3003172491,1450685.8326124705,0.25327794905246015
6,"202511, 202512, 202601, 202602, 202603, 202604",202605,553658.4768672403,1370467.5567399159,0.3335773416580119
9,"202508, 202509, 202510, 202511, 202512, 202601, 202602, 202603, 202604",202605,531346.068075834,1352860.6999408642,0.3505908571595139
12,"202505, 202506, 202507, 202508, 202509, 202510, 202511, 202512, 202601, 202602, 202603, 202604",202605,537784.9822950864,1343528.2024513995,0.35951964800126934
